zip code tabulation area,year,med_income,med_home_val,med_rent,perc_white,med_age,perc_employed,perc_hs_grad,med_income_change,med_home_val_change,med_rent_change,med_age_change,perc_white_change,perc_hs_grad_change,perc_employed_change
60419,2012,52918,129400,1049,0.056537102,34.3,0.796270774,0.261492454,0,0,0,0,0,0,0
60438,2012,51643,143900,913,0.622132769,39.7,0.888474621,0.294920086,0,0,0,0,0,0,0
60443,2012,62126,173400,1129,0.21040603,41.4,0.877102082,0.228725671,0,0,0,0,0,0,0
60445,2012,58666,170000,899,0.806166385,38,0.884761236,0.320783821,0,0,0,0,0,0,0
60457,2012,56956,244000,857,0.883942877,36.7,0.889040163,0.292800657,0,0,0,0,0,0,0
60610,2012,71986,421700,1217,0.726054145,34.6,0.937779389,0.08145598,0,0,0,0,0,0,0
60622,2012,67493,432000,1110,0.744110762,31,0.94057975,0.096509963,0,0,0,0,0,0,0
60660,2012,38303,231700,825,0.617178149,35.6,0.894637,0.12441268,0,0,0,0,0,0,0
60706,2012,49933,281500,919,0.922887506,45.5,0.919864961,0.355222488,0,0,0,0,0,0,0
60712,2012,91250,396000,1716,0.643643324,47.2,0.9476984,0.154090188,0,0,0,0,0,0,0
60602,2012,81750,330400,1792,0.721633888,32.1,0.972413793,0.154090188,0,0,0,0,0,0,0
60076,2012,69477,318500,1116,0.644079971,43.9,0.898809863,0.168758952,0,0,0,0,0,0,0
60090,2012,57416,211300,990,0.743440854,35.8,0.925854993,0.23439715,0,0,0,0,0,0,0
60126,2012,92777,375000,1158,0.896624244,39.8,0.92373026,0.147342339,0,0,0,0,0,0,0
60155,2012,49864,178300,820,0.204843592,42.7,0.863918017,0.309267432,0,0,0,0,0,0,0
60067,2012,93369,377900,1164,0.848084995,41.6,0.945320616,0.153540205,0,0,0,0,0,0,0
60025,2012,91086,430200,1156,0.816200987,43.9,0.931319365,0.155880103,0,0,0,0,0,0,0
60062,2012,99538,508100,1532,0.814526589,46.3,0.941228161,0.114769753,0,0,0,0,0,0,0
60074,2012,62172,239500,1031,0.778621631,33.1,0.905167773,0.216083778,0,0,0,0,0,0,0
60104,2012,54047,164000,964,0.114472651,35,0.854841897,0.291577031,0,0,0,0,0,0,0
60803,2013,51186,166100,906,0.748616256,35.7,0.849082095,0.275487056,-0.148956688,-0.428620571,-0.125482625,-0.192307692,0.144638984,0.078377318,-0.074855744
60164,2013,56891,173400,833,0.627192982,34.9,0.918914261,0.285672727,-0.391936811,-0.447594775,-0.323863636,-0.171021378,-0.178479891,0.15714885,-0.023112317
60173,2013,66556,235600,1206,0.575063823,30.9,0.945414036,0.110067575,0.148071483,0.000424628,0.215725806,-0.221662469,-0.111568538,-0.128015716,0.015639921
60162,2013,53868,180100,895,0.323304562,40.1,0.864398658,0.225017973,-0.717961203,-0.806842557,-0.483852364,-0.06088993,-0.616668651,0.191208081,-0.07676133
60467,2013,88947,310200,1737,0.911495536,44.9,0.910919112,0.260394815,0.270871137,0.183517741,0.143515471,-0.011013216,0.225988463,0.03022261,-0.016818199
60482,2013,55269,176000,877,0.915261836,37,0.869840779,0.352234565,-0.673447563,-0.790126401,-0.422646478,-0.075,0.054591642,0.315870928,-0.027278562
60558,2013,139257,528800,1990,0.978321033,42.4,0.935587762,0.07609092,1.523411735,1.58455523,1.441717791,0.152173913,0.194820451,-0.226593308,0.034376672
60611,2013,85642,464400,1618,0.778716103,39.5,0.920449347,0.037215497,0.956636966,1.779174147,0.859770115,0.085164835,0.639881191,-0.242081995,0.116204674
60616,2013,44258,288100,895,0.285809541,35.8,0.867738425,0.219913895,-0.155301078,0.436191426,0.033487298,-0.100502513,-0.038182593,-0.009350019,-0.003583387
60651,2013,30971,174200,926,0.13630417,32.7,0.798280554,0.302206,-0.658567507,-0.469710807,-0.334291876,-0.265168539,-0.793921371,0.047895416,-0.114749749
60077,2013,58216,272400,1037,0.636507411,42.7,0.931051837,0.192601976,0.053626047,0.479630636,0.162556054,0.132625995,-0.277968069,-0.164827743,0.041643267
60089,2013,94351,303700,1208,0.788762156,42.6,0.934732224,0.119126946,-0.312966482,-0.447818182,-0.396301849,-0.00234192,-0.192876372,0.042950512,-0.002171542
60016,2013,59533,217900,997,0.675247557,39.4,0.929460209,0.227467909,-0.316451191,-0.569197311,-0.359254499,-0.081585082,-0.110875229,0.187043392,0.004560465
60022,2013,162460,885600,1547,0.935030623,42.8,0.954891458,0.040258261,2.848121654,1.981818182,0.759954494,0.188888889,0.644893055,-0.171644564,0.086807267
60154,2013,68422,237200,1249,0.673173054,47.5,0.922873563,0.234933036,1.209798792,0.199191102,0.33869239,0.507936508,0.521927866,-0.066126886,0.129134937
60029,2013,165000,804700,1249,0.891954023,42.2,0.897058824,0.04797048,1.140827527,1.94008038,0.216163583,0.128342246,0.057721718,-0.157326313,-0.026544933
60131,2013,54102,190200,807,0.753044056,38.1,0.895986655,0.305189523,0.292389279,-0.165789474,-0.06271777,0.114035088,-0.043340259,-0.035269605,0.00444947
60165,2013,38214,160500,914,0.419243986,28.7,0.88202765,0.225311943,-0.684181818,-0.640215198,-0.292569659,-0.271573604,-0.406386266,0.171605188,-0.052123122
60192,2013,115285,335400,1914,0.701186297,41,0.938342565,0.168831169,1.230401641,0.918764302,0.408388521,-0.082774049,0.097617977,0.08540755,0.031188835
